id	interest_name	facebook_page	facebook_id	url	category	topic	political_bias
18749	"KMGH-TV"	""	-	-	Local Business	News and entertainment	0.2734
18750	"WTSP"	"Wtsp"	582805801891628	-	Local Business	News and entertainment	0.2963
18751	"Quizony"	"Quizony"	1454212804796876	http://www.quizony.com	-	-	0.2575
18752	"KTRK-TV"	""	-	-	Local Business	News and entertainment	0.1043
18753	"AOL"	"AOL"	107651419258212	http://www.aol.com	-	News and entertainment	0.0526
18754	"Amazon.com"	"Amazon.com"	9465008123	www.amazon.com	-	Business and industry	-0.0621
18755	"WFLA News Channel 8"	"WFLA News Channel 8"	112651575499	http://www.wfla.com/	TV Channel	News and entertainment	0.4294
18756	"YouTube"	"YouTube"	7270241753	http://youtube.com	-	Business and industry	-0.2124
18757	"FOX 4 News"	"FOX 4 News"	172530812092	http://www.fox4news.com	TV Channel	-	0.3187
18758	"Opposing Views"	"Opposing Views"	34226391050	www.opposingviews.com	Public Figure	People	0.4921
18759	"Quiznatic Media"	"Quiznatic Media"	1455759931350973	http://quiznatic.com	Entertainment Website	-	0.5368
18760	"LiveLeak"	"LiveLeak"	400703896635912	http://www.liveleak.com	Software	News and entertainment	-0.1071
18761	"Zero Hedge"	"Zero Hedge"	116467201763793	http://www.zerohedge.com/	Local Business	Business and industry	0.4896
18762	"United With Israel"	"United With Israel"	150799104953073	www.unitedwithisrael.org	-	Business and industry	1.5521
18763	"Officer Down Memorial Page"	""	-	-	Law Enforcement Agency	Business and industry	1.0491
18764	"End Time Headlines"	"End Time Headlines"	135010313189665	http://www.endtimeheadlines.org	Personal Blog	News and entertainment	0.9891
18765	"Judicial Watch"	"Judicial Watch"	92925746942	http://www.judicialwatch.org	Lawyer & Law Firm	Business and industry	1.6444
18766	"NumbersUSA"	"NumbersUSA"	129255907131113	http://www.NumbersUSA.com	Nonprofit Organization	Business and industry	1.2539
18767	"Reagan coalition"	""	-	-	-	Lifestyle and culture	1.9041
18768	"Media Research Center"	"Media Research Center"	10498053716	http://mrc.org	Local Business	Business and industry	1.6328
18769	"100 Percent FED Up"	"100 Percent FED Up"	311190048935167	http://100percentfedup.com	News & Media Website	-	1.6669
18770	"American Center for Law & Justice"	""	-	-	Local Business	Business and industry	1.5533
18771	"ACLU Nationwide"	""	-	-	Nonprofit Organization	-	-1.5296
18772	"Addicting Info"	"Addicting Info"	146422995398181	www.AddictingInfo.org	Media/News Company	-	-0.8215
18773	"Allen West (politician)"	""	-	-	Local Business	People	1.5354
18774	"American News"	"American News"	179035672287016	http://americannews.com	Other	News and entertainment	1.4265
18775	"Organizing for Action"	"Organizing for Action"	203330919857759	https://www.ofa.us/	-	Business and industry	-1.3663
18776	"Conservative News Today"	"Conservative News Today"	169204449790211	www.bizpacreview.com	Media/News Company	-	1.6822
18777	"Herman Cain"	"Herman Cain"	171306206290481	www.electhermancain.com	Politician	People	1.6761
18778	"Conservative Post"	"Conservative Post"	221573484697614	http://conservativepost.com	Broadcasting & Media Production Company	-	1.4608
18779	"Ted Cruz"	"Ted Cruz"	69983322463	http://www.tedcruz.org	Politician	People	1.3128
18780	"Dinesh D'Souza"	""	-	-	Author	People	1.6990
18781	"Glenn Beck"	"Glenn Beck"	36400348187	http://www.glennbeck.com	Author	People	1.4709
18782	"Republican National Committee"	"Republican National Committee"	123192635089	http://gop.cm/wH62zw	Political Party	Business and industry	1.4544
18783	"Sean Hannity"	"Sean Hannity"	69813760388	http://www.hannity.com	Author	People	1.4315
18784	"If You Only News"	"If You Only News"	762592150466931	http://www.IfYouOnlyNews.com	Website	-	-1.2749
18785	"Joe the Plumber"	"Joe the Plumber"	359591544295	http://joeforamerica.com	Politician	People	1.7063
18786	"Liberal America"	"Liberal America"	180213475460766	http://www.liberalamerica.org	News & Media Website	Lifestyle and culture	-1.3252
18787	"LifeSiteNews.com"	""	-	-	Nonprofit Organization	Business and industry	1.5202
18788	"B. Scott"	"B. Scott"	52946962893	http://lovebscott.com	Artist	People	-1.5706
18789	"Mic (media company)"	"Mic"	174742062548592	http://www.mic.com	News & Media Website	-	-0.7015
18790	"National Pro-Life Alliance"	""	-	-	Political Organization	Business and industry	1.7201
18791	"National Right to Life Committee"	""	-	-	-	Business and industry	1.5385
18792	"National Republican Congressional Committee"	"National Republican Congressional Committee"	46093654473	http://www.nrcc.org	-	Business and industry	1.3570
18793	"occupy democrats"	"Occupy Democrats"	346937065399354	www.occupydemocrats.com	Political Organization	-	-1.0355
18794	"Pamela Geller"	"Pamela Geller"	193266897438	http://pamelageller.com	Author	People	1.5103
18795	"Rush Limbaugh"	"Rush Limbaugh"	136264019722601	www.RushLimbaugh.com	Author	People	1.6559
18796	"U.S. Senator Bernie Sanders"	"U.S. Senator Bernie Sanders"	9124187907	http://sanders.senate.gov/	Politician	-	-1.1042
18797	"CREDO Mobile"	""	-	-	Local Business	-	-1.1992
18798	"Sons of Liberty"	""	-	-	Local Business	Business and industry	1.1651
18799	"Tea party"	"Tea Party"	172526489431467	http://www.teaparty.org	Local Business	Food and drink	1.2109
18800	"Gateway Pundit"	"Gateway Pundit"	196087640574	http://thegatewaypundit.com/	News & Media Website	News and entertainment	1.7669
18801	"The Grio"	""	-	-	Workplace & Office	Business and industry	-1.5881
18802	"Truthout"	"Truthout"	83865976093	http://www.truth-out.org	Nonprofit Organization	News and entertainment	-1.2551
18803	"Upworthy"	"Upworthy"	354522044588660	http://www.upworthy.com	-	Business and industry	-0.2475
18804	"Laura Ingraham"	"Laura Ingraham"	271042954725	www.LauraIngraham.com	Author	People	1.5374
18805	"young conservatives"	"Young Conservatives"	147772245840	AmericaNewsHub.com	News Personality	-	1.6024
18806	"AARP"	"AARP"	57259033959	http://www.aarp.org	Local Business	Business and industry	0.1809
